,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive,time_difference
14492,19,68.6592344539094,0.0571683883879345,4.7600656442909706e-05,0,29,True,1.0,20.0
14493,19,385.1508508418668,0.3209590423682223,0.0002674658686401,3,9,True,1.0,20.0
14494,19,4.502312705178424,0.0037519272543153,3.1266060452627946e-06,4,9,False,0.0,60.0
14495,19,32.916273173130364,0.0274302276442753,2.285852303689609e-05,4,29,True,1.0,20.0
14496,19,8.277102871218778,0.0068975857260156,5.74798810501304e-06,5,29,False,0.0,60.0
14497,19,363.8329895683109,0.3031941579735924,0.0002526617983113,5,49,True,1.0,20.0
14498,19,201.7900430787148,0.1681583692322623,0.0001401319743602,6,9,True,1.0,20.0
14499,19,568.2726633448526,0.2367802763936886,9.865844849737024e-05,6,9,True,1.0,40.0
14500,19,585.8285093434135,0.4881904244528446,0.0004068253537107,6,29,True,1.0,20.0
14501,19,617.7152409789583,0.5151920275053864,0.0004296847602213,20,49,True,1.0,20.0
14502,19,0.1784453776255614,0.0001487044813546,1.2392040112886213e-07,21,29,False,0.0,40.0
14503,19,414.2093914043836,0.3448870869312103,0.0002871666002757,21,49,True,1.0,20.0
14504,19,134.1059237713091,0.1118481432621427,9.328452315441426e-05,22,9,True,1.0,20.0
14505,19,21.454163894092908,0.017878469911744,1.4898724926453408e-05,3,29,True,1.0,20.0
14506,19,25.091606122521192,0.0209096717687676,1.7424726473973048e-05,5,49,True,1.0,20.0
14507,19,3.527646868134114,0.002939705723445,2.449754769537579e-06,6,29,False,0.0,40.0
14508,19,48.90658485686513,0.0407215527534264,3.39063719845349e-05,6,49,True,1.0,20.0
14509,19,64.34860172537552,0.0536238347711462,4.468652897595522e-05,0,49,True,1.0,20.0
14510,19,44.26720133568721,0.0369201011974038,3.079241134062039e-05,3,29,True,1.0,20.0
14511,19,6.972947229082539,0.0058107893575687,4.8423244646406525e-06,4,29,False,0.0,60.0
14512,19,54.05399981617216,0.0449700497638703,3.7412686991572665e-05,4,50,True,1.0,21.0
14513,19,4.996351489592135,0.0041670988236798,3.475478585220888e-06,5,9,False,0.0,19.0
14514,19,142.60643040984922,0.1194358713650328,0.0001000300430192,5,29,True,1.0,20.0
14515,19,121.05622575790504,0.1004615981393402,8.337062086252306e-05,5,49,True,1.0,20.0
14516,19,47.60268501848456,0.0396689041820704,3.305742015172539e-05,6,9,True,1.0,20.0
14517,19,109.2472244360506,0.0910393536967088,7.586612808059068e-05,9,29,True,1.0,20.0
14518,19,30.1180624290989,0.0250983853575824,2.091532113131868e-05,18,49,True,1.0,20.0
14519,19,32.7260451508748,0.0272717042923956,2.272642024366305e-05,19,9,True,1.0,20.0
14520,19,52.31068883483567,0.0435922406956963,3.632686724641366e-05,5,29,True,1.0,20.0
14521,19,45.47511384239622,0.0378959282019968,3.157994016833071e-05,5,49,True,1.0,20.0
14522,19,495.96281763223766,0.4133023480268647,0.0003444186233557,20,9,True,1.0,20.0
14523,19,3.253193196821141,0.0027109943306842,2.259161942236904e-06,20,49,False,0.0,40.0
